PositionRelPAS_kb	Avg_E_bound	Avg_Ser2P
-5.6	0.38913994445417	1.35498761130167
-5.5	0.391461849120822	1.36307252331123
-5.4	0.393770528357665	1.3711113844616
-5.3	0.396065980164313	1.37910418778149
-5.2	0.398348205352137	1.38705093609025
-5.1	0.400617207465644	1.39495164172408
-5	0.402872992704923	1.402806326266
-4.9	0.40511556984919	1.41061502027965
-4.8	0.407344950181441	1.41837776304691
-4.7	0.409561147414241	1.42609460230952
-4.6	0.411764177616668	1.43376559401466
-4.5	0.413954059142413	1.44139080206466
-4.4	0.416130812559058	1.44897029807066
-4.3	0.418294460578538	1.45650416111057
-4.2	0.42044502798879	1.46399247749102
-4.1	0.42258254158662	1.47143534051358
-4	0.424707030111756	1.4788328502452
-3.9	0.426818524182111	1.48618511329274
-3.8	0.428917056230266	1.49349224258182
-3.7	0.431002660441151	1.50075435713986
-3.6	0.433075372690947	1.50797158188325
-3.5	0.43513523048718	1.51514404740887
-3.4	0.437182272910032	1.52227188978964
-3.3	0.439216540554846	1.52935525037436
-3.2	0.441238075475822	1.53639427559167
-3.1	0.443246921130905	1.54338911675812
-3	0.445243122327846	1.55033992989039
-2.9	0.447226725171442	1.55724687552156
-2.8	0.44919777701194	1.56411011852142
-2.7	0.451156326394579	1.57092982792084
-2.6	0.453102423010297	1.57770617674008
-2.5	0.455036117647547	1.58443934182103
-2.4	0.456957462145247	1.5911295036634
-2.3	0.458866509346835	1.59777684626469
-2.2	0.460763313055416	1.60438155696406
-2.1	0.462647927989991	1.6109438262899
-2	0.464520409742756	1.61746384781113
-1.9	0.46638081473745	1.62394181799219
-1.8	0.468229200188757	1.63037793605167
-1.7	0.470065624062712	1.63677240382442
-1.6	0.471890145038134	1.64312542562732
-1.5	0.473702822469052	1.64943720812835
-1.4	0.475503716348099	1.65570796021923
-1.3	0.477292887270892	1.66193789289131
-1.2	0.479070396401338	1.66812721911482
-1.1	0.480836305437889	1.67427615372132
-1	0.482590676580711	1.68038491328944
-0.9	0.484333572499748	1.68645371603362
-0.8	0.486065056303686	1.69248278169608
-0.7	0.487785191509769	1.69847233144167
-0.6	0.489494042014478	1.70442258775587
-0.5	0.491191672065054	1.71033377434552
-0.4	0.49287814623183	1.71620611604254
-0.3	0.494553529381374	1.72203983871042
-0.2	0.496217886650428	1.72783516915345
-0.1	0.497871283420614	1.73359233502863
0	0.499513785293896	1.73931156476028
0.1	0.501145458068804	1.74499308745718
0.2	0.502766367717348	1.75063713283228
0.3	0.504376580362693	1.75624393112487
0.4	0.505976162257486	1.76181371302516
0.5	0.507565179762898	1.76734670960128
0.6	0.509143699328313	1.7728431522286
0.7	0.510711787471671	1.77830327252124
0.8	0.512269510760468	1.7837273022659
0.9	0.513816935793346	1.78911547335783
1	0.515354129182327	1.79446801773887
1.1	0.516881157535615	1.79978516733765
1.2	0.518398087440989	1.8050671540117
1.3	0.519904985449768	1.81031420949167
1.4	0.521401918061323	1.81552656532734
1.5	0.52288895170813	1.82070445283562
1.6	0.524366152741348	1.82584810305034
1.7	0.525833587416926	1.83095774667381
1.8	0.527291321882184	1.83603361403018
1.9	0.528739422162915	1.84107593502044
2	0.530177954150938	1.84608493907914
2.1	0.531606983592128	1.85106085513271
2.2	0.533026576074898	1.85600391155932
2.3	0.534436797019124	1.86091433615032
2.4	0.535837711665487	1.86579235607316
2.5	0.537229385065255	1.87063819783577
2.6	0.538611882070451	1.87545208725237
2.7	0.539985267324433	1.88023424941061
2.8	0.541349605252851	1.88498490864014
2.9	0.542704960054978	1.8897042884824
3	0.544051395695431	1.89439261166176
3.1	0.545388975896202	1.89905010005782
3.2	0.546717764129075	1.903676974679
3.3	0.548037823608359	1.9082734556372
3.4	0.549349217283958	1.91283976212369
3.5	0.550652007834749	1.91737611238607
3.6	0.551946257662273	1.92188272370627
3.7	0.553232028884728	1.92635981237965
3.8	0.554509383331243	1.93080759369506
3.9	0.555778382536454	1.93522628191594
4	0.557039087735333	1.93961609026234
4.1	0.558291559858293	1.94397723089387
4.2	0.559535859526559	1.94830991489353
4.3	0.560772047047775	1.95261435225248
4.4	0.562000182411862	1.9568907518556
4.5	0.563220325287115	1.96113932146788
4.6	0.56443253501652	1.96536026772159
4.7	0.565636870614304	1.96955379610431
4.8	0.566833390762684	1.97372011094757
4.9	0.56802215380885	1.97785941541635
5	0.56920321776212	1.98197191149917
